LIST Oct97-680.list LET_A 9 taxfile 126maxNL.tax
495 bbbbabbbb 10.00000 -10.00000 -10.00000    1
496 aaaabbbbb -1.16595  3.01424 -2.43101   97
497 baaabbbbb  0.10351  1.57494 -1.64093   31
498 abaabbbbb  1.71447  0.60712 -2.86332   27
499 bbaabbbbb  3.98126 -0.95231 -10.00000    8
500 aababbbbb  0.24790  2.35754 -3.61821   29
501 bababbbbb  0.43694  1.85504 -2.67068    8
502 abbabbbbb  1.49583  1.53312 -10.00000    9
503 bbbabbbbb 10.00000 -10.00000 -10.00000    1
504 aaabbbbbb  0.29943  2.54692 -4.90772   34
505 baabbbbbb  3.49583 -0.46688 -10.00000   12
506 ababbbbbb  0.17390  2.85504 -10.00000    6
507 bbabbbbbb 10.00000 -10.00000 -10.00000    2
508 aabbbbbbb  2.17390  0.85504 -10.00000    9
509 babbbbbbb -10.00000 10.00000 -10.00000    1
510 abbbbbbbb  2.17390  0.85504 -10.00000    3
511 bbbbbbbbb  1.17390  1.85504 -10.00000    2
