LIST Oct97-680.list LET_A 9 taxfile 126maxNL.tax
111 bbbbabbaa -0.17402  2.22701 -2.32276   39
112 aaaabbbaa -0.75532  2.06822 -1.40884  678
113 baaabbbaa -0.47087  1.22369 -0.65979  260
114 abaabbbaa  0.39302  1.67144 -2.21440  299
115 bbaabbbaa  0.42916  0.65341 -0.92941   99
116 aababbbaa  0.31727  2.00314 -2.75716  312
117 bababbbaa -0.30003  2.31142 -2.28959  102
118 abbabbbaa  1.51339  0.97052 -3.19961  111
119 bbbabbbaa  1.45401  0.99255 -3.08572   31
120 aaabbbbaa -1.61037  3.88058 -3.58579  284
121 baabbbbaa -0.48321  2.45115 -2.28366  108
122 ababbbbaa -1.26667  3.57125 -3.43101   90
123 bbabbbbaa  1.31141  1.44001 -4.18525   21
124 aabbbbbaa -0.58353  3.27728 -4.32276   92
125 babbbbbaa  0.48203  2.54692 -10.00000   34
126 abbbbbbaa  0.04837  2.61404 -3.90772   35
127 bbbbbbbaa  1.17390  1.85504 -10.00000    8
128 aaaaaaaba -0.36393 -1.49868  1.05980 2065
129 baaaaaaba -0.48001 -1.87713  1.28339 1186
130 abaaaaaba -0.42690 -1.74151  1.19572 1218
131 bbaaaaaba -0.63032 -1.58591  1.31188  593
132 aabaaaaba  0.14408 -1.53217  0.62610 1238
133 babaaaaba -0.44235 -1.13709  0.98177  618
134 abbaaaaba  0.06063 -1.05569  0.52278  639
135 bbbaaaaba -1.18440 -0.36127  1.09182  288
136 aaabaaaba  0.93272 -1.27394 -0.21643 1355
137 baabaaaba  1.24005 -1.72427 -0.38043  829
138 ababaaaba -0.35410 -0.09163  0.34795  602
139 bbabaaaba  0.33394 -0.34030 -0.08092  279
140 aabbaaaba  0.88132 -0.55483 -0.49559  663
141 babbaaaba  0.75069 -0.41703 -0.44051  309
142 abbbaaaba -0.39782  0.70304 -0.22337  290
143 bbbbaaaba -0.89321  0.77487  0.05724  109
144 aaaabaaba  0.26019 -0.25412 -0.06518 1217
145 baaabaaba  1.02951 -1.33728 -0.29123  720
146 abaabaaba  0.47256 -0.69889 -0.01533  646
147 bbaabaaba  1.00120 -0.98849 -0.40269  368
148 aababaaba -0.57271  0.77085 -0.15328  649
149 bababaaba  0.00214  0.63508 -0.49517  283
150 abbabaaba -0.32086  0.48468 -0.09939  294
151 bbbabaaba -0.25673  0.98058 -0.59124   85
152 aaabbaaba  1.27796  0.02030 -1.34980  749
153 baabbaaba  2.27282 -1.06026 -1.85224  487
154 ababbaaba  1.08703  0.45105 -1.51995  299
155 bbabbaaba  2.41626 -0.88192 -2.18525  138
156 aabbbaaba  0.38190  1.22921 -1.52093  295
157 babbbaaba  1.28082  0.97369 -2.61056  108
158 abbbbaaba -0.72792  2.30756 -1.76514   90
159 bbbbbaaba  1.38541  0.90751 -2.71132   41
160 aaaaababa -0.94917  0.63595  0.21068 1248
161 baaaababa -0.86172  0.41724  0.33500  612
162 abaaababa  0.03153 -0.29305  0.16060  603
163 bbaaababa -0.49123 -0.60147  0.75879  292
164 aabaababa -0.21802  0.44001 -0.14493  627
165 babaababa -1.24113  0.90037  0.14680  285
166 abbaababa  0.64252  0.05952 -0.64719  313
167 bbbaababa -0.25494  0.57494 -0.22589   96
168 aaabababa -0.92798  1.73531 -0.87331  651
169 baabababa -0.53433  1.06450 -0.45226  303
170 ababababa -0.83990  2.05359 -1.31900  262
171 bbabababa -1.16849  1.54838 -0.51937   85
